IP,Acuracia,TempoReacao,APM,TaxaErros,IPRepetido,JaFoiSuspeito,Inventario,AcoesBots,Classe
192.168.9.232,62,456,131,1,1,0,"Mapa, Anel, Armadura, Flecha",1,Suspeito
192.168.66.169,84,457,126,46,1,0,"Martelo, Poção, Joia, Adaga",0,Suspeito
192.168.80.133,92,229,79,0,1,0,"Poção, Armadura, Adaga, Joia",0,Legítimo
192.168.140.48,84,227,57,37,0,1,"Espada, Lança, Flecha, Foco",1,Suspeito
192.168.248.198,92,279,79,7,0,0,"Escudo, Luvas, Poção, Espada",1,Legítimo
192.168.240.229,70,463,129,46,1,1,"Martelo, Luvas, Poção, Elmo",1,Suspeito
192.168.153.236,57,238,57,45,1,0,"Anel, Arco, Adaga, Escudo",1,Suspeito
192.168.23.50,87,416,93,33,0,0,"Espada, Adaga, Flecha, Escudo",0,Legítimo
192.168.12.83,68,230,127,34,0,0,"Anel, Joia, Tomo, Lança",1,Suspeito
192.168.100.70,84,387,72,0,1,0,"Joia, Lança, Tomo, Botas",0,Legítimo
192.168.212.91,63,307,107,50,0,1,"Martelo, Arco, Cristal, Mapa",0,Suspeito
192.168.72.139,54,437,59,44,1,1,"Adaga, Tomo, Anel, Martelo",1,Suspeito
192.168.36.205,100,270,43,45,1,0,"Anel, Adaga, Armadura, Cristal",0,Legítimo
192.168.20.252,57,392,126,33,1,1,"Joia, Mapa, Flecha, Chave",1,Suspeito
192.168.197.51,100,270,41,17,1,1,"Armadura, Elmo, Tomo, Lança",1,Suspeito
192.168.2.208,99,414,62,45,0,0,"Escudo, Martelo, Cristal, Elmo",0,Legítimo
192.168.181.186,90,462,133,14,1,0,"Cristal, Foco, Tomo, Chave",1,Suspeito
192.168.197.19,83,238,71,28,1,1,"Anel, Arco, Elmo, Martelo",1,Suspeito
192.168.92.30,79,460,147,5,0,0,"Colar, Espada, Elmo, Tomo",0,Suspeito
192.168.221.159,94,378,148,47,1,0,"Tomo, Foco, Colar, Lança",0,Suspeito
192.168.85.17,64,238,62,7,0,0,"Tomo, Anel, Joia, Adaga",1,Legítimo
192.168.80.83,73,328,34,11,1,1,"Flecha, Elmo, Cristal, Chave",0,Suspeito
192.168.187.163,81,248,115,28,0,0,"Arco, Escudo, Chave, Joia",1,Suspeito
192.168.227.121,70,410,84,38,1,0,"Elmo, Martelo, Luvas, Foco",0,Suspeito
192.168.31.182,71,428,42,31,0,0,"Joia, Poção, Espada, Arco",1,Suspeito
192.168.195.144,66,231,115,11,0,0,"Elmo, Poção, Escudo, Cristal",1,Suspeito
192.168.197.126,78,352,33,0,1,0,"Arco, Joia, Armadura, Luvas",0,Suspeito
192.168.134.110,93,445,135,38,1,1,"Flecha, Foco, Botas, Adaga",1,Suspeito
192.168.7.28,60,481,46,50,0,0,"Chave, Colar, Cristal, Martelo",1,Suspeito
192.168.9.163,97,354,45,41,0,1,"Joia, Luvas, Foco, Tomo",1,Suspeito
192.168.81.130,85,486,51,23,0,0,"Espada, Armadura, Botas, Cristal",1,Suspeito
192.168.232.64,91,361,146,46,1,1,"Luvas, Colar, Elmo, Arco",1,Suspeito
192.168.105.193,78,318,113,20,1,1,"Escudo, Botas, Cristal, Elmo",1,Suspeito
192.168.59.20,89,455,126,26,1,0,"Cristal, Espada, Escudo, Luvas",1,Suspeito
192.168.74.42,50,348,78,24,1,1,"Martelo, Cristal, Colar, Joia",1,Suspeito
192.168.238.207,91,342,70,22,1,0,"Arco, Adaga, Tomo, Joia",0,Suspeito
192.168.162.223,52,347,58,39,0,1,"Chave, Flecha, Arco, Botas",1,Suspeito
192.168.205.48,95,454,88,26,0,0,"Colar, Armadura, Escudo, Cristal",0,Legítimo
192.168.228.138,100,450,96,16,1,1,"Elmo, Arco, Poção, Foco",0,Suspeito
192.168.206.229,64,321,106,13,1,1,"Luvas, Armadura, Espada, Escudo",0,Suspeito
192.168.82.29,60,300,61,1,1,1,"Elmo, Cristal, Escudo, Adaga",0,Suspeito
192.168.59.109,89,348,144,29,1,1,"Poção, Flecha, Arco, Escudo",0,Suspeito
192.168.209.220,62,372,50,11,1,0,"Tomo, Anel, Colar, Escudo",0,Suspeito
192.168.2.131,94,271,146,7,1,1,"Poção, Elmo, Tomo, Lança",0,Suspeito
192.168.107.57,55,438,31,33,0,1,"Anel, Elmo, Escudo, Chave",1,Suspeito
192.168.31.87,56,346,88,34,0,1,"Botas, Colar, Luvas, Anel",0,Suspeito
192.168.241.83,99,300,70,38,1,0,"Escudo, Cristal, Poção, Martelo",0,Legítimo
192.168.133.180,84,232,84,25,1,1,"Cristal, Colar, Foco, Luvas",0,Suspeito
192.168.93.248,93,271,99,45,0,0,"Poção, Armadura, Espada, Cristal",0,Legítimo
192.168.246.65,66,485,82,47,0,1,"Foco, Elmo, Escudo, Anel",0,Suspeito
192.168.127.77,84,291,80,41,0,0,"Joia, Botas, Espada, Mapa",1,Legítimo
192.168.73.10,80,250,118,32,0,0,"Mapa, Poção, Foco, Martelo",1,Suspeito
192.168.156.129,80,338,112,15,1,1,"Martelo, Anel, Chave, Luvas",1,Suspeito
192.168.14.72,84,292,130,50,0,0,"Escudo, Lança, Poção, Cristal",1,Suspeito
192.168.232.62,79,210,60,13,1,1,"Cristal, Arco, Lança, Colar",0,Suspeito
192.168.37.125,71,297,103,10,0,1,"Anel, Cristal, Adaga, Lança",0,Suspeito
192.168.252.62,64,363,100,22,1,0,"Adaga, Elmo, Armadura, Colar",0,Suspeito
192.168.172.195,89,366,74,2,0,0,"Adaga, Flecha, Mapa, Tomo",1,Legítimo
192.168.61.186,61,307,88,49,1,1,"Escudo, Lança, Cristal, Poção",0,Suspeito
192.168.94.162,85,334,67,30,1,0,"Flecha, Tomo, Colar, Foco",1,Suspeito
192.168.162.137,61,490,47,28,1,1,"Elmo, Foco, Botas, Poção",0,Suspeito
192.168.24.214,81,313,55,33,0,1,"Poção, Cristal, Colar, Anel",0,Suspeito
192.168.82.48,88,277,42,25,0,0,"Martelo, Anel, Armadura, Mapa",1,Legítimo
192.168.11.151,61,273,112,1,0,0,"Chave, Arco, Armadura, Adaga",1,Suspeito
192.168.173.5,53,337,109,31,0,0,"Cristal, Anel, Colar, Tomo",1,Suspeito
192.168.131.58,56,428,145,36,1,1,"Botas, Mapa, Tomo, Joia",1,Suspeito
192.168.165.45,80,262,118,21,1,0,"Foco, Elmo, Flecha, Chave",1,Suspeito
192.168.177.99,93,413,36,38,1,0,"Chave, Joia, Escudo, Botas",1,Suspeito
192.168.239.36,52,206,136,11,1,1,"Poção, Adaga, Foco, Joia",1,Suspeito
192.168.87.29,87,326,134,11,0,1,"Espada, Luvas, Armadura, Escudo",0,Suspeito
192.168.236.224,67,433,83,8,0,0,"Armadura, Arco, Mapa, Elmo",1,Suspeito
192.168.66.169,74,301,100,18,0,0,"Armadura, Chave, Luvas, Cristal",1,Suspeito
192.168.209.142,97,369,148,43,1,1,"Cristal, Joia, Arco, Mapa",0,Suspeito
192.168.136.62,66,261,94,42,1,1,"Mapa, Luvas, Lança, Joia",1,Suspeito
192.168.24.229,73,423,139,19,0,1,"Escudo, Flecha, Joia, Adaga",1,Suspeito
192.168.230.162,50,215,40,30,0,1,"Martelo, Colar, Adaga, Espada",0,Suspeito
192.168.87.90,54,456,53,36,1,1,"Colar, Tomo, Poção, Mapa",0,Suspeito
192.168.186.229,63,259,83,12,1,1,"Flecha, Anel, Poção, Botas",0,Suspeito
192.168.227.199,51,463,100,8,1,1,"Martelo, Armadura, Colar, Espada",1,Suspeito
192.168.164.22,82,306,128,49,0,1,"Chave, Botas, Joia, Lança",1,Suspeito
192.168.42.230,71,417,149,31,0,1,"Escudo, Espada, Chave, Colar",0,Suspeito
192.168.155.3,77,296,77,50,1,0,"Armadura, Luvas, Anel, Mapa",1,Suspeito
192.168.26.170,58,472,35,17,1,0,"Lança, Foco, Chave, Joia",0,Suspeito
192.168.2.42,65,238,126,35,0,1,"Flecha, Chave, Cristal, Mapa",1,Suspeito
192.168.140.177,83,253,103,11,1,0,"Luvas, Escudo, Botas, Foco",0,Legítimo
192.168.167.58,99,348,54,13,1,1,"Flecha, Martelo, Botas, Armadura",0,Suspeito
192.168.182.61,52,224,89,26,0,0,"Martelo, Poção, Mapa, Cristal",1,Suspeito
192.168.83.191,95,258,119,16,0,1,"Espada, Colar, Tomo, Foco",0,Suspeito
192.168.166.217,79,484,123,8,0,0,"Martelo, Luvas, Anel, Tomo",0,Suspeito
192.168.168.145,78,493,90,13,0,1,"Anel, Poção, Joia, Flecha",0,Suspeito
192.168.24.94,75,313,66,1,1,1,"Colar, Poção, Elmo, Martelo",0,Suspeito
192.168.68.63,53,477,147,35,0,0,"Arco, Anel, Poção, Adaga",0,Suspeito
192.168.249.101,54,363,110,25,1,1,"Tomo, Escudo, Chave, Arco",1,Suspeito
192.168.228.161,80,281,79,4,1,0,"Flecha, Cristal, Anel, Joia",1,Suspeito
192.168.203.129,67,411,63,8,0,0,"Poção, Chave, Luvas, Foco",1,Suspeito
192.168.148.126,96,398,118,5,0,0,"Martelo, Chave, Botas, Escudo",1,Suspeito
192.168.50.185,70,497,59,31,1,0,"Martelo, Flecha, Adaga, Colar",0,Suspeito
192.168.72.7,57,279,50,4,1,1,"Anel, Foco, Mapa, Adaga",0,Suspeito
192.168.165.46,86,402,94,38,1,0,"Luvas, Flecha, Botas, Adaga",0,Suspeito
192.168.240.244,64,215,65,1,0,1,"Martelo, Lança, Chave, Cristal",1,Suspeito
192.168.234.95,76,234,106,12,0,0,"Botas, Anel, Arco, Elmo",1,Suspeito
192.168.4.237,85,201,44,45,1,1,"Chave, Anel, Foco, Poção",0,Suspeito
192.168.110.247,95,500,109,36,1,0,"Botas, Cristal, Adaga, Chave",0,Suspeito
192.168.246.218,90,441,64,3,0,1,"Foco, Poção, Lança, Joia",1,Suspeito
192.168.76.99,84,436,30,41,1,1,"Tomo, Martelo, Foco, Armadura",1,Suspeito
192.168.218.81,84,353,45,25,0,1,"Cristal, Colar, Adaga, Joia",1,Suspeito
192.168.44.142,98,290,142,43,1,0,"Escudo, Martelo, Adaga, Lança",0,Suspeito
192.168.239.178,65,245,134,30,1,1,"Lança, Joia, Colar, Armadura",1,Suspeito
192.168.146.25,50,285,58,34,0,0,"Colar, Martelo, Flecha, Elmo",0,Legítimo
192.168.157.253,63,313,124,50,1,0,"Escudo, Armadura, Anel, Mapa",1,Suspeito
192.168.36.133,61,427,103,11,0,0,"Armadura, Joia, Flecha, Arco",1,Suspeito
192.168.224.189,83,362,147,31,0,0,"Botas, Cristal, Espada, Arco",1,Suspeito
192.168.178.180,82,223,75,23,0,0,"Adaga, Armadura, Cristal, Anel",0,Legítimo
192.168.92.75,80,205,112,2,0,1,"Arco, Mapa, Elmo, Cristal",0,Legítimo
192.168.207.207,50,230,37,0,0,0,"Chave, Lança, Anel, Botas",0,Legítimo
192.168.222.233,87,323,77,6,1,0,"Armadura, Cristal, Anel, Martelo",0,Legítimo
192.168.131.128,66,480,146,33,1,0,"Joia, Espada, Chave, Colar",1,Suspeito
192.168.204.166,83,391,95,28,0,1,"Botas, Adaga, Armadura, Mapa",1,Suspeito
192.168.180.203,78,441,64,28,1,1,"Poção, Luvas, Cristal, Chave",0,Suspeito
192.168.227.87,67,340,44,1,1,0,"Chave, Cristal, Poção, Armadura",0,Suspeito
192.168.96.24,56,308,115,23,1,1,"Poção, Mapa, Tomo, Cristal",0,Suspeito
192.168.148.10,54,232,108,47,1,1,"Tomo, Adaga, Poção, Elmo",1,Suspeito
192.168.119.139,92,463,75,20,0,0,"Poção, Tomo, Foco, Luvas",1,Suspeito
192.168.74.151,96,435,145,31,0,1,"Tomo, Anel, Poção, Elmo",0,Suspeito
192.168.8.10,83,250,32,39,1,1,"Armadura, Tomo, Poção, Colar",0,Suspeito
192.168.210.92,55,354,66,39,0,1,"Chave, Arco, Cristal, Luvas",1,Suspeito
192.168.33.134,70,346,141,26,0,0,"Colar, Arco, Poção, Flecha",1,Suspeito
192.168.197.56,87,388,68,43,0,0,"Martelo, Chave, Tomo, Lança",0,Legítimo
192.168.159.22,89,484,60,19,0,0,"Escudo, Espada, Cristal, Flecha",1,Suspeito
192.168.14.136,56,374,94,45,0,1,"Armadura, Botas, Escudo, Lança",1,Suspeito
192.168.138.163,50,362,129,12,0,1,"Armadura, Cristal, Chave, Poção",1,Suspeito
192.168.186.249,86,215,42,14,0,0,"Lança, Botas, Mapa, Arco",1,Legítimo
192.168.132.83,68,218,144,2,1,0,"Cristal, Martelo, Tomo, Botas",0,Suspeito
192.168.203.70,62,256,126,40,1,1,"Adaga, Joia, Armadura, Arco",1,Suspeito
192.168.112.21,50,209,51,21,0,1,"Cristal, Luvas, Martelo, Anel",0,Suspeito
192.168.7.246,77,423,116,11,0,1,"Foco, Tomo, Escudo, Arco",0,Suspeito
192.168.214.178,93,417,76,11,0,1,"Foco, Tomo, Mapa, Elmo",0,Legítimo
192.168.105.45,98,240,78,45,0,1,"Colar, Tomo, Elmo, Adaga",0,Legítimo
192.168.40.64,78,451,124,42,0,0,"Cristal, Adaga, Colar, Joia",0,Suspeito
192.168.141.183,76,246,146,28,0,0,"Joia, Chave, Anel, Armadura",1,Suspeito
192.168.169.72,54,290,45,31,1,0,"Mapa, Adaga, Flecha, Anel",1,Suspeito
192.168.244.189,77,274,80,24,1,1,"Poção, Tomo, Armadura, Flecha",1,Suspeito
192.168.142.156,69,312,88,19,0,0,"Foco, Colar, Lança, Botas",0,Legítimo
192.168.107.64,80,276,75,46,0,0,"Mapa, Colar, Botas, Foco",0,Legítimo
192.168.91.194,69,347,73,6,1,0,"Arco, Joia, Martelo, Anel",1,Suspeito
192.168.4.30,62,322,36,21,1,0,"Poção, Botas, Luvas, Mapa",0,Suspeito
192.168.12.11,54,496,112,17,1,1,"Foco, Lança, Armadura, Mapa",1,Suspeito
192.168.219.180,66,216,82,25,1,0,"Adaga, Mapa, Arco, Anel",0,Suspeito
192.168.121.25,54,242,53,23,0,0,"Foco, Joia, Cristal, Tomo",1,Suspeito
192.168.126.121,59,215,128,26,0,1,"Arco, Tomo, Luvas, Escudo",0,Suspeito
192.168.45.111,100,388,127,7,1,0,"Poção, Foco, Tomo, Lança",1,Suspeito
192.168.102.158,72,216,88,26,0,1,"Adaga, Armadura, Foco, Cristal",1,Suspeito
192.168.162.12,77,451,66,12,1,1,"Tomo, Adaga, Anel, Armadura",1,Suspeito
192.168.96.160,94,354,107,9,1,1,"Joia, Armadura, Flecha, Cristal",1,Suspeito
192.168.129.219,100,358,64,3,1,1,"Martelo, Mapa, Elmo, Luvas",0,Suspeito
192.168.168.42,79,369,58,38,0,0,"Espada, Martelo, Armadura, Tomo",1,Suspeito
192.168.18.164,91,251,118,21,1,1,"Foco, Anel, Colar, Luvas",0,Suspeito
192.168.7.150,66,259,34,31,0,0,"Foco, Chave, Escudo, Cristal",1,Suspeito
192.168.240.147,65,295,41,37,0,0,"Botas, Espada, Flecha, Chave",0,Legítimo
192.168.99.165,70,378,30,34,0,0,"Lança, Chave, Joia, Tomo",1,Suspeito
192.168.117.140,84,263,48,23,1,0,"Espada, Elmo, Foco, Escudo",1,Suspeito
192.168.241.99,84,235,38,19,1,1,"Flecha, Adaga, Chave, Colar",0,Suspeito
192.168.246.231,66,492,150,19,0,0,"Cristal, Joia, Adaga, Chave",0,Suspeito
192.168.50.18,56,206,64,32,0,1,"Adaga, Elmo, Mapa, Armadura",0,Suspeito
192.168.26.5,82,441,48,25,1,0,"Botas, Armadura, Luvas, Mapa",1,Suspeito
192.168.25.175,56,437,59,43,1,0,"Espada, Joia, Foco, Armadura",0,Suspeito
192.168.19.82,79,289,143,44,1,1,"Arco, Colar, Espada, Adaga",1,Suspeito
192.168.216.6,85,240,92,8,1,0,"Elmo, Poção, Tomo, Arco",1,Suspeito
192.168.208.72,85,243,74,6,0,1,"Flecha, Elmo, Botas, Luvas",1,Suspeito
192.168.31.178,88,409,135,32,1,0,"Espada, Flecha, Martelo, Elmo",1,Suspeito
192.168.161.224,94,393,77,15,0,0,"Joia, Colar, Luvas, Elmo",0,Legítimo
192.168.188.205,75,435,70,0,1,0,"Colar, Mapa, Botas, Tomo",1,Suspeito
192.168.72.46,87,482,55,45,1,1,"Colar, Botas, Elmo, Cristal",1,Suspeito
192.168.192.206,81,408,75,11,0,0,"Flecha, Colar, Lança, Tomo",1,Legítimo
192.168.253.106,59,246,68,47,0,0,"Adaga, Arco, Escudo, Cristal",1,Suspeito
192.168.95.198,51,273,111,36,1,0,"Joia, Cristal, Poção, Chave",1,Suspeito
192.168.87.238,64,453,65,38,0,1,"Foco, Anel, Botas, Tomo",0,Suspeito
192.168.219.110,72,263,99,10,0,1,"Colar, Lança, Poção, Adaga",1,Suspeito
192.168.192.193,81,221,37,11,1,1,"Tomo, Mapa, Chave, Lança",1,Suspeito
192.168.27.231,93,411,53,26,0,0,"Botas, Chave, Martelo, Joia",1,Suspeito
192.168.129.211,60,321,79,8,1,1,"Elmo, Chave, Joia, Flecha",1,Suspeito
192.168.82.229,56,476,143,15,0,1,"Escudo, Chave, Luvas, Mapa",0,Suspeito
192.168.100.3,99,395,75,16,1,1,"Elmo, Escudo, Anel, Lança",1,Suspeito
192.168.231.24,55,227,110,8,0,1,"Elmo, Poção, Flecha, Escudo",1,Suspeito
192.168.82.243,74,485,60,10,0,1,"Foco, Elmo, Martelo, Chave",0,Suspeito
192.168.243.147,79,277,45,40,1,0,"Tomo, Luvas, Cristal, Colar",1,Suspeito
192.168.162.115,77,301,37,8,1,1,"Joia, Cristal, Mapa, Adaga",0,Suspeito
192.168.75.84,54,321,66,1,0,1,"Elmo, Mapa, Adaga, Chave",1,Suspeito
192.168.172.192,52,215,49,32,0,0,"Espada, Martelo, Joia, Flecha",0,Legítimo
192.168.202.202,55,349,51,49,1,0,"Lança, Foco, Chave, Adaga",1,Suspeito
192.168.24.127,79,237,122,16,1,1,"Cristal, Mapa, Tomo, Botas",0,Suspeito
192.168.15.141,77,320,31,6,1,0,"Foco, Tomo, Joia, Espada",0,Suspeito
192.168.113.227,61,305,97,29,1,1,"Poção, Anel, Armadura, Tomo",0,Suspeito
192.168.90.30,82,432,75,46,1,0,"Arco, Lança, Elmo, Martelo",0,Suspeito
192.168.37.195,91,441,91,39,0,0,"Elmo, Luvas, Escudo, Poção",1,Suspeito
192.168.158.26,52,246,98,31,0,0,"Colar, Arco, Flecha, Tomo",0,Legítimo
192.168.22.179,75,310,67,16,1,0,"Escudo, Anel, Espada, Elmo",1,Suspeito
192.168.19.210,85,312,65,27,0,0,"Tomo, Escudo, Chave, Joia",1,Suspeito
192.168.181.21,62,245,118,4,0,0,"Poção, Lança, Elmo, Escudo",1,Suspeito
192.168.22.252,65,440,135,34,0,1,"Espada, Martelo, Luvas, Elmo",1,Suspeito
192.168.96.95,81,412,53,36,0,1,"Mapa, Tomo, Armadura, Cristal",0,Suspeito
192.168.208.242,95,257,41,49,0,0,"Lança, Escudo, Elmo, Martelo",0,Legítimo
192.168.252.193,91,310,138,13,0,1,"Adaga, Botas, Elmo, Luvas",1,Suspeito
192.168.96.22,79,231,72,0,1,1,"Cristal, Botas, Poção, Anel",0,Suspeito
192.168.199.143,87,389,96,27,0,1,"Martelo, Adaga, Mapa, Anel",1,Suspeito
192.168.109.232,68,236,73,36,0,1,"Espada, Anel, Colar, Tomo",0,Suspeito
192.168.29.126,82,496,45,40,0,0,"Botas, Flecha, Anel, Adaga",1,Suspeito
192.168.3.120,73,434,101,9,1,0,"Foco, Cristal, Lança, Anel",0,Suspeito
192.168.15.31,59,317,93,13,0,0,"Martelo, Chave, Anel, Mapa",1,Suspeito
192.168.30.166,85,374,54,26,1,0,"Adaga, Escudo, Cristal, Espada",0,Suspeito
192.168.191.149,78,474,84,16,1,1,"Elmo, Armadura, Tomo, Anel",0,Suspeito
192.168.246.96,68,366,126,43,0,0,"Espada, Luvas, Martelo, Chave",1,Suspeito
192.168.73.222,96,252,101,24,0,1,"Adaga, Tomo, Arco, Cristal",0,Suspeito
192.168.58.246,51,313,41,40,0,1,"Colar, Joia, Espada, Martelo",1,Suspeito
192.168.4.248,66,453,96,29,1,1,"Tomo, Escudo, Martelo, Mapa",1,Suspeito
192.168.12.228,52,393,115,39,1,1,"Anel, Lança, Escudo, Cristal",0,Suspeito
192.168.135.254,89,395,125,16,1,0,"Luvas, Adaga, Joia, Poção",1,Suspeito
192.168.19.142,85,460,106,42,0,1,"Joia, Tomo, Flecha, Chave",0,Suspeito
192.168.248.134,66,469,48,14,1,0,"Anel, Chave, Armadura, Colar",1,Suspeito
192.168.161.178,84,476,115,27,0,1,"Cristal, Poção, Luvas, Arco",1,Suspeito
192.168.116.161,70,228,111,10,0,1,"Anel, Arco, Espada, Lança",1,Suspeito
192.168.150.230,88,363,32,24,1,1,"Botas, Adaga, Lança, Flecha",0,Suspeito
192.168.12.72,73,422,79,16,1,0,"Tomo, Foco, Armadura, Colar",0,Suspeito
192.168.243.228,71,427,70,13,0,1,"Cristal, Tomo, Flecha, Espada",1,Suspeito
192.168.117.159,97,382,110,49,0,0,"Joia, Chave, Poção, Armadura",0,Legítimo
192.168.71.48,62,250,56,8,0,0,"Tomo, Cristal, Chave, Poção",0,Legítimo
192.168.119.91,56,440,101,40,0,1,"Anel, Escudo, Martelo, Espada",1,Suspeito
192.168.149.20,79,416,140,50,0,0,"Joia, Botas, Chave, Escudo",1,Suspeito
192.168.249.252,99,225,126,1,1,1,"Flecha, Foco, Armadura, Tomo",0,Suspeito
192.168.179.137,69,339,141,35,1,0,"Martelo, Arco, Escudo, Joia",0,Suspeito
192.168.79.208,53,252,148,12,1,1,"Chave, Anel, Tomo, Luvas",0,Suspeito
192.168.175.42,67,301,31,2,1,0,"Poção, Foco, Tomo, Cristal",0,Suspeito
192.168.233.210,75,205,105,20,1,1,"Martelo, Escudo, Espada, Flecha",0,Suspeito
192.168.243.186,58,320,79,47,1,1,"Espada, Flecha, Martelo, Poção",0,Suspeito
192.168.157.107,83,365,134,0,1,1,"Poção, Joia, Botas, Chave",1,Suspeito
192.168.238.221,100,386,60,29,0,0,"Armadura, Cristal, Arco, Botas",1,Suspeito
192.168.12.7,73,399,148,25,1,1,"Poção, Espada, Mapa, Adaga",0,Suspeito
192.168.96.207,68,451,104,44,1,0,"Lança, Armadura, Elmo, Foco",0,Suspeito
192.168.252.39,70,264,126,4,1,0,"Colar, Botas, Mapa, Espada",1,Suspeito
192.168.152.98,55,236,40,34,1,0,"Colar, Armadura, Arco, Anel",0,Suspeito
192.168.248.215,95,456,52,34,0,1,"Botas, Poção, Arco, Armadura",1,Suspeito
192.168.214.120,71,247,121,34,1,0,"Anel, Armadura, Poção, Espada",1,Suspeito
192.168.106.70,69,493,32,48,0,1,"Foco, Joia, Anel, Mapa",1,Suspeito
192.168.15.221,83,453,128,41,1,1,"Tomo, Escudo, Poção, Chave",0,Suspeito
192.168.208.255,72,350,31,2,0,0,"Cristal, Mapa, Lança, Martelo",1,Suspeito
192.168.255.142,83,495,109,24,0,1,"Espada, Arco, Escudo, Lança",1,Suspeito
192.168.197.241,53,229,74,20,0,0,"Anel, Poção, Arco, Martelo",1,Suspeito
192.168.217.64,91,291,103,15,1,1,"Armadura, Anel, Martelo, Botas",1,Suspeito
192.168.115.33,97,392,114,23,0,0,"Lança, Poção, Escudo, Colar",0,Legítimo
192.168.244.155,83,305,71,19,1,1,"Botas, Colar, Arco, Lança",0,Suspeito
192.168.59.172,98,479,43,22,0,0,"Lança, Cristal, Escudo, Chave",1,Suspeito
192.168.158.92,57,219,38,49,1,0,"Chave, Colar, Espada, Tomo",1,Suspeito
192.168.29.172,74,365,101,4,1,0,"Poção, Flecha, Botas, Lança",1,Suspeito
192.168.133.197,80,377,92,47,0,0,"Tomo, Luvas, Escudo, Lança",1,Suspeito
192.168.133.218,79,396,119,24,0,0,"Lança, Arco, Botas, Elmo",0,Suspeito
192.168.141.144,70,276,91,31,1,0,"Adaga, Elmo, Armadura, Espada",0,Suspeito
192.168.224.103,67,309,81,42,1,0,"Foco, Luvas, Adaga, Armadura",1,Suspeito
192.168.35.8,56,453,78,18,1,1,"Botas, Martelo, Armadura, Lança",0,Suspeito
192.168.193.159,69,258,33,21,0,1,"Elmo, Arco, Botas, Colar",1,Suspeito
192.168.180.55,58,448,70,20,0,1,"Arco, Espada, Flecha, Mapa",0,Suspeito
192.168.35.4,87,369,148,19,1,1,"Mapa, Luvas, Foco, Martelo",1,Suspeito
192.168.90.151,60,429,135,47,0,1,"Foco, Elmo, Flecha, Botas",1,Suspeito
192.168.101.112,52,414,69,42,0,1,"Martelo, Luvas, Elmo, Botas",0,Suspeito
192.168.231.89,78,262,101,5,0,0,"Elmo, Espada, Mapa, Chave",0,Legítimo
192.168.132.200,80,371,132,5,1,1,"Foco, Tomo, Cristal, Adaga",1,Suspeito
192.168.102.159,94,461,83,21,1,0,"Poção, Arco, Elmo, Chave",1,Suspeito
192.168.220.243,79,330,32,5,0,1,"Arco, Joia, Adaga, Cristal",1,Suspeito
192.168.38.237,67,490,39,31,0,1,"Poção, Elmo, Joia, Flecha",0,Suspeito
192.168.126.66,90,336,91,7,0,0,"Elmo, Arco, Poção, Lança",0,Legítimo
192.168.118.250,77,242,147,26,0,1,"Cristal, Anel, Adaga, Poção",0,Suspeito
192.168.126.84,54,317,113,0,0,0,"Mapa, Colar, Espada, Armadura",0,Suspeito
192.168.162.62,78,486,38,16,1,0,"Escudo, Chave, Tomo, Lança",1,Suspeito
192.168.20.33,96,296,52,34,0,0,"Flecha, Anel, Arco, Armadura",1,Legítimo
192.168.33.39,70,461,123,24,0,1,"Botas, Escudo, Cristal, Adaga",0,Suspeito
