IP,Inventario,Precisao,TempoReacao,APM,TaxaHeadshots,JaFoiSuspeito,SusInv,Classe
192.168.201.131,"Pistola, Mira, Submetralhadora, Explosivo",72,382,27,3,0,0,Legítimo
192.168.189.116,"GranadaInc, Sniper, MedKit, Metralhadora",58,344,114,1,0,0,Legítimo
192.168.25.82,"Sniper, Mira, Silenciador, Colete",49,393,105,7,0,0,Legítimo
192.168.187.175,"GranadaFrag, Drone, Submetralhadora, MedKit",64,64,68,96,0,1,Suspeito
192.168.121.40,"Submetralhadora, Faca, Pistola, Capacete",81,220,32,72,0,1,Suspeito
192.168.59.74,"Drone, Explosivo, GranadaInc, Faca",79,175,142,1,0,1,Suspeito
192.168.191.19,"Revólver, Faca, Torreta, Metralhadora",84,173,143,69,0,0,Suspeito
192.168.228.235,"Faca, GranadaInc, Pistola, Drone",64,68,100,80,0,1,Suspeito
192.168.193.230,"GranadaFrag, Capacete, Faca, Sniper",57,51,94,24,0,0,Legítimo
192.168.20.51,"Pistola, GranadaInc, Revólver, Capacete",76,187,95,83,0,0,Legítimo
192.168.165.4,"Faca, Torreta, Lança-granadas, MedKit",72,152,72,16,0,0,Legítimo
192.168.68.16,"Sniper, GranadaInc, GranadaFumo, GranadaFrag",94,259,121,82,0,1,Suspeito
192.168.53.206,"Drone, Pistola, Colete, Submetralhadora",91,111,32,16,0,1,Suspeito
192.168.234.54,"Colete, Mira, Explosivo, GranadaFrag",70,221,22,23,1,1,Suspeito
192.168.85.25,"GranadaFumo, GranadaInc, Drone, Torreta",44,214,27,13,0,1,Legítimo
192.168.53.234,"MedKit, Lança-granadas, GranadaInc, Silenciador",62,275,85,17,0,1,Legítimo
192.168.131.238,"Capacete, GranadaFrag, Submetralhadora, GranadaInc",56,216,86,54,0,1,Legítimo
192.168.20.232,"Explosivo, Mira, Lança-granadas, Drone",59,392,86,88,0,0,Legítimo
192.168.111.234,"Submetralhadora, Mira, Explosivo, Drone",86,192,50,90,0,1,Suspeito
192.168.218.71,"MedKit, Explosivo, GranadaFrag, Submetralhadora",62,399,50,30,0,0,Legítimo
192.168.146.28,"Capacete, Sniper, Mira, Revólver",70,253,66,4,0,1,Legítimo
192.168.122.52,"Drone, GranadaFumo, Mira, Submetralhadora",40,311,129,16,0,1,Legítimo
192.168.62.234,"Submetralhadora, Silenciador, GranadaFumo, Sniper",75,349,121,43,0,0,Legítimo
192.168.153.213,"Mira, Faca, MedKit, GranadaInc",57,205,97,96,0,1,Legítimo
192.168.95.228,"Revólver, Silenciador, Drone, GranadaFumo",74,70,48,1,0,1,Legítimo
192.168.206.179,"Sniper, Silenciador, MedKit, GranadaFumo",72,92,26,76,0,1,Suspeito
192.168.216.44,"Torreta, Drone, Sniper, MedKit",86,167,44,0,0,0,Legítimo
192.168.5.82,"Metralhadora, Espingarda, Drone, GranadaFrag",80,353,105,39,0,0,Legítimo
192.168.147.155,"Colete, Torreta, Pistola, Faca",96,358,144,78,0,1,Suspeito
192.168.110.13,"GranadaFrag, Sniper, Explosivo, Revólver",92,179,71,57,0,1,Suspeito
192.168.109.228,"MedKit, Fuzil, Mira, GranadaFumo",58,347,63,51,0,0,Legítimo
192.168.140.194,"GranadaInc, Mira, Drone, GranadaFumo",78,332,31,1,0,1,Legítimo
192.168.11.35,"Lança-granadas, Capacete, Sniper, Submetralhadora",81,282,139,59,0,1,Suspeito
192.168.117.175,"Faca, Submetralhadora, Sniper, Lança-granadas",91,254,93,40,0,0,Legítimo
192.168.129.235,"GranadaFumo, Capacete, Fuzil, MedKit",95,134,89,86,0,0,Suspeito
192.168.137.219,"Silenciador, Fuzil, Sniper, Espingarda",77,156,97,10,0,0,Legítimo
192.168.255.38,"Submetralhadora, Colete, GranadaInc, Metralhadora",54,160,120,62,0,1,Suspeito
192.168.156.230,"Espingarda, Explosivo, GranadaInc, Drone",62,366,93,29,0,1,Legítimo
192.168.108.119,"Silenciador, Explosivo, GranadaFrag, Espingarda",63,154,23,95,0,0,Suspeito
192.168.69.140,"GranadaFrag, Espingarda, MedKit, Capacete",45,194,53,71,0,0,Legítimo
192.168.179.252,"Torreta, Drone, Revólver, Metralhadora",59,207,64,29,0,0,Legítimo
192.168.169.231,"MedKit, GranadaFumo, Submetralhadora, Lança-granadas",84,313,148,70,0,0,Legítimo
192.168.206.173,"GranadaFrag, Silenciador, Colete, Fuzil",44,294,112,69,0,0,Legítimo
192.168.232.176,"Drone, Lança-granadas, GranadaInc, Colete",97,109,138,9,0,1,Suspeito
192.168.44.96,"Mira, Drone, Colete, GranadaInc",62,146,82,41,0,0,Legítimo
192.168.69.197,"Submetralhadora, Torreta, Lança-granadas, Sniper",77,353,99,3,0,1,Legítimo
192.168.113.212,"Metralhadora, Submetralhadora, Silenciador, MedKit",77,244,112,62,0,1,Legítimo
192.168.218.154,"GranadaFumo, Silenciador, Pistola, Faca",73,134,81,59,0,0,Legítimo
192.168.154.126,"Drone, Silenciador, GranadaFrag, Revólver",78,391,71,58,0,0,Legítimo
192.168.70.92,"Colete, Mira, Explosivo, GranadaInc",40,278,45,8,0,1,Legítimo
192.168.198.66,"Faca, MedKit, Mira, Metralhadora",93,55,53,100,0,1,Suspeito
192.168.12.123,"GranadaFrag, MedKit, Drone, GranadaInc",62,129,117,55,1,1,Suspeito
192.168.141.5,"MedKit, Espingarda, Silenciador, GranadaFrag",75,234,47,26,0,0,Legítimo
192.168.205.58,"Mira, Lança-granadas, Revólver, Capacete",72,103,73,33,0,0,Legítimo
192.168.150.217,"MedKit, Faca, Torreta, GranadaInc",54,64,107,51,0,1,Suspeito
192.168.107.97,"MedKit, Capacete, GranadaFrag, Torreta",68,264,56,6,0,0,Legítimo
192.168.152.194,"Torreta, GranadaInc, Drone, Mira",67,345,44,78,0,0,Legítimo
192.168.113.237,"Faca, Pistola, Revólver, Espingarda",89,132,95,42,0,0,Legítimo
192.168.62.202,"Fuzil, Submetralhadora, Explosivo, Drone",64,119,136,22,0,0,Legítimo
192.168.115.62,"Submetralhadora, Torreta, Colete, MedKit",44,378,106,80,1,0,Suspeito
192.168.249.235,"Silenciador, Fuzil, Lança-granadas, Capacete",64,245,37,30,0,0,Legítimo
192.168.3.3,"Lança-granadas, Fuzil, Silenciador, Capacete",59,182,97,27,0,1,Legítimo
192.168.65.27,"Capacete, Mira, GranadaFumo, MedKit",68,94,36,79,0,0,Suspeito
192.168.244.18,"Explosivo, Metralhadora, Mira, Silenciador",90,249,65,81,0,1,Suspeito
192.168.105.63,"Colete, Faca, MedKit, GranadaInc",87,201,70,7,0,1,Legítimo
192.168.65.182,"Capacete, Mira, Explosivo, Pistola",41,138,90,58,0,1,Legítimo
192.168.100.152,"Mira, Pistola, Sniper, Drone",53,333,78,73,0,1,Legítimo
192.168.158.97,"Espingarda, Explosivo, Silenciador, Capacete",52,316,40,48,0,0,Legítimo
192.168.24.147,"Drone, Capacete, Fuzil, Pistola",52,240,113,54,0,1,Legítimo
192.168.167.116,"MedKit, Drone, GranadaFrag, Colete",99,351,100,57,0,0,Legítimo
192.168.143.243,"Metralhadora, Capacete, Espingarda, GranadaInc",67,367,53,50,0,0,Legítimo
192.168.121.113,"Colete, Espingarda, Sniper, Faca",100,295,32,97,0,1,Suspeito
192.168.16.173,"Sniper, Silenciador, Revólver, GranadaFrag",56,96,83,52,0,1,Legítimo
192.168.24.19,"GranadaFrag, Submetralhadora, Espingarda, Drone",88,397,133,35,0,1,Suspeito
192.168.81.148,"Lança-granadas, Capacete, Explosivo, MedKit",61,354,71,99,0,1,Legítimo
192.168.66.186,"Metralhadora, Lança-granadas, Mira, Fuzil",78,209,112,91,1,0,Suspeito
192.168.112.53,"MedKit, GranadaFrag, GranadaFumo, Fuzil",68,333,42,19,0,0,Legítimo
192.168.79.133,"Mira, Pistola, Sniper, Fuzil",64,375,100,30,0,0,Legítimo
192.168.215.249,"GranadaFrag, GranadaInc, Drone, Faca",65,110,100,24,0,0,Legítimo
192.168.53.7,"Faca, Lança-granadas, Fuzil, Sniper",48,122,25,45,0,1,Suspeito
192.168.141.74,"Silenciador, Mira, Torreta, Capacete",41,137,70,75,0,1,Suspeito
192.168.134.80,"GranadaFumo, Capacete, Faca, Espingarda",41,178,125,42,0,1,Suspeito
192.168.113.223,"GranadaFrag, Drone, Lança-granadas, Espingarda",99,115,126,8,0,0,Suspeito
192.168.149.3,"Silenciador, Revólver, Lança-granadas, GranadaFrag",47,159,59,35,0,0,Legítimo
192.168.224.129,"Revólver, Submetralhadora, Metralhadora, Faca",63,235,20,26,0,0,Legítimo
192.168.16.197,"Submetralhadora, Drone, Explosivo, Fuzil",77,182,28,27,0,0,Legítimo
192.168.226.138,"Submetralhadora, GranadaInc, Revólver, Torreta",60,116,88,59,0,1,Legítimo
192.168.53.186,"Metralhadora, Espingarda, Pistola, Explosivo",62,120,20,93,0,1,Suspeito
192.168.7.183,"GranadaInc, Lança-granadas, Torreta, Capacete",95,395,59,61,0,0,Legítimo
192.168.119.112,"Mira, Faca, Capacete, Metralhadora",45,218,116,62,0,1,Legítimo
192.168.93.45,"Torreta, Pistola, Capacete, Submetralhadora",86,211,50,83,0,1,Suspeito
192.168.21.35,"Mira, Torreta, Colete, Explosivo",97,190,143,65,0,1,Suspeito
192.168.17.25,"Mira, GranadaFumo, Revólver, Silenciador",78,347,106,50,0,0,Legítimo
192.168.192.222,"Fuzil, MedKit, GranadaFumo, Metralhadora",100,123,89,11,0,1,Suspeito
192.168.107.219,"Sniper, Metralhadora, Torreta, GranadaFumo",80,385,99,36,0,1,Legítimo
192.168.167.129,"MedKit, Metralhadora, GranadaInc, Drone",59,350,99,31,0,1,Legítimo
192.168.174.22,"GranadaInc, MedKit, Colete, GranadaFrag",88,289,75,2,0,0,Legítimo
192.168.24.251,"Pistola, Drone, Espingarda, Fuzil",86,363,83,61,0,0,Legítimo
192.168.136.180,"GranadaFrag, MedKit, Lança-granadas, GranadaInc",40,199,150,59,0,1,Suspeito
192.168.244.159,"GranadaFrag, Submetralhadora, Metralhadora, GranadaFumo",80,366,74,80,0,0,Legítimo
192.168.137.137,"Lança-granadas, Sniper, Pistola, MedKit",84,196,75,37,0,1,Suspeito
192.168.214.34,"Colete, Pistola, Capacete, Espingarda",52,371,86,5,0,1,Legítimo
192.168.195.179,"Revólver, Drone, GranadaFrag, Espingarda",50,137,136,71,0,1,Suspeito
192.168.6.185,"GranadaInc, Espingarda, Pistola, Explosivo",48,56,32,20,0,0,Legítimo
192.168.55.88,"GranadaFumo, GranadaInc, Revólver, MedKit",80,286,89,24,0,0,Legítimo
192.168.128.255,"Revólver, MedKit, GranadaFrag, Silenciador",63,228,48,41,0,0,Legítimo
192.168.8.82,"GranadaFrag, Submetralhadora, Metralhadora, Torreta",48,53,99,38,0,1,Legítimo
192.168.245.188,"Faca, GranadaFumo, Submetralhadora, Pistola",70,394,94,93,0,0,Legítimo
192.168.168.101,"Espingarda, Explosivo, GranadaInc, Sniper",91,270,49,58,0,0,Legítimo
192.168.131.129,"Espingarda, Pistola, Submetralhadora, Drone",58,345,137,11,0,1,Legítimo
192.168.120.177,"Pistola, GranadaFrag, Colete, Mira",57,340,123,33,0,1,Legítimo
192.168.99.203,"MedKit, Pistola, GranadaFumo, Metralhadora",41,396,116,18,0,1,Legítimo
192.168.142.8,"Metralhadora, Fuzil, Capacete, Submetralhadora",91,287,40,98,0,1,Suspeito
192.168.87.172,"GranadaFumo, Sniper, Capacete, Colete",57,261,31,58,0,1,Legítimo
192.168.31.19,"Fuzil, Silenciador, GranadaInc, Explosivo",66,380,130,61,0,0,Legítimo
192.168.221.168,"GranadaFrag, Pistola, Faca, Silenciador",69,204,110,99,0,0,Legítimo
192.168.91.190,"Drone, Capacete, Submetralhadora, Mira",94,302,142,97,0,0,Suspeito
192.168.111.28,"Sniper, Submetralhadora, Faca, Capacete",61,336,125,36,0,1,Legítimo
192.168.100.116,"Lança-granadas, Fuzil, Faca, Revólver",62,103,146,53,0,0,Legítimo
192.168.187.45,"Fuzil, Faca, Colete, GranadaFrag",43,383,121,72,0,1,Suspeito
192.168.136.11,"Faca, Drone, Explosivo, MedKit",89,391,77,44,0,1,Legítimo
192.168.161.21,"Drone, Silenciador, Metralhadora, Revólver",73,223,45,63,0,0,Legítimo
192.168.224.88,"Pistola, Revólver, Sniper, Drone",66,372,83,19,0,1,Legítimo
192.168.62.241,"Drone, Torreta, GranadaFumo, Revólver",45,328,74,1,1,0,Legítimo
192.168.199.138,"Lança-granadas, Explosivo, Silenciador, Drone",50,268,119,85,0,1,Suspeito
192.168.61.101,"Colete, Metralhadora, Fuzil, Drone",65,122,92,42,0,0,Legítimo
192.168.179.163,"GranadaFumo, Sniper, Submetralhadora, Fuzil",96,377,89,10,0,1,Legítimo
192.168.104.139,"MedKit, Pistola, Explosivo, Metralhadora",77,233,42,75,1,0,Legítimo
192.168.83.255,"Fuzil, Revólver, Sniper, Colete",56,251,63,81,0,0,Legítimo
192.168.27.5,"Submetralhadora, Mira, Capacete, Fuzil",63,105,54,59,0,0,Legítimo
192.168.46.243,"Faca, GranadaFumo, Sniper, Lança-granadas",70,218,49,18,0,1,Legítimo
192.168.185.111,"GranadaFrag, Drone, Metralhadora, Silenciador",76,343,54,24,0,1,Legítimo
192.168.254.15,"Espingarda, GranadaInc, Mira, Submetralhadora",83,110,143,61,0,0,Suspeito
192.168.169.106,"GranadaFumo, Revólver, Torreta, MedKit",54,143,46,66,0,1,Legítimo
192.168.29.242,"Torreta, Metralhadora, GranadaFumo, Drone",43,283,133,52,0,0,Legítimo
192.168.215.70,"Espingarda, GranadaInc, Pistola, MedKit",59,111,40,35,0,0,Legítimo
192.168.57.189,"Torreta, Silenciador, Submetralhadora, Espingarda",93,358,64,33,0,1,Legítimo
192.168.125.95,"Sniper, Drone, Explosivo, Submetralhadora",85,204,106,19,0,1,Suspeito
192.168.105.82,"Submetralhadora, GranadaFrag, Lança-granadas, Espingarda",69,198,129,21,0,0,Legítimo
192.168.165.71,"Sniper, Submetralhadora, Colete, Fuzil",90,375,23,29,0,1,Suspeito
192.168.168.225,"GranadaFumo, Pistola, Capacete, Submetralhadora",52,194,99,77,0,1,Suspeito
192.168.203.203,"Explosivo, GranadaFumo, Fuzil, Pistola",47,198,54,28,0,1,Legítimo
192.168.203.248,"GranadaFrag, MedKit, Explosivo, Fuzil",41,270,143,75,0,0,Legítimo
192.168.125.220,"Submetralhadora, Lança-granadas, Torreta, Espingarda",88,147,110,87,0,0,Suspeito
192.168.247.220,"Lança-granadas, Fuzil, Explosivo, GranadaFumo",67,81,80,9,0,0,Legítimo
192.168.117.15,"Mira, GranadaFumo, Espingarda, Submetralhadora",98,213,130,62,0,0,Legítimo
192.168.36.96,"GranadaFrag, MedKit, Fuzil, Espingarda",95,255,53,15,0,1,Legítimo
192.168.144.231,"GranadaInc, Explosivo, MedKit, GranadaFumo",56,105,62,58,0,0,Legítimo
192.168.167.136,"Faca, Torreta, Fuzil, Revólver",90,233,111,51,0,0,Legítimo
192.168.12.113,"Torreta, Pistola, GranadaFrag, Mira",56,194,49,48,0,1,Legítimo
192.168.47.65,"Colete, Lança-granadas, Metralhadora, Drone",79,362,123,39,1,1,Suspeito
192.168.129.114,"GranadaInc, Espingarda, Submetralhadora, Torreta",92,279,150,45,0,0,Legítimo
192.168.219.182,"Silenciador, Mira, Revólver, GranadaFrag",80,235,139,86,0,1,Suspeito
192.168.156.166,"Pistola, GranadaInc, Mira, GranadaFumo",43,262,87,75,0,0,Legítimo
192.168.103.202,"Torreta, Pistola, Submetralhadora, Faca",64,224,32,7,0,0,Legítimo
192.168.255.162,"Fuzil, Torreta, GranadaFumo, Colete",51,326,39,1,0,1,Legítimo
192.168.60.230,"GranadaFumo, GranadaInc, Drone, Colete",45,109,120,36,0,1,Suspeito
192.168.3.253,"MedKit, Explosivo, Capacete, Drone",59,91,89,84,0,1,Suspeito
192.168.182.30,"Silenciador, Torreta, Colete, Fuzil",73,324,65,26,0,1,Legítimo
192.168.216.227,"Submetralhadora, GranadaFumo, GranadaInc, Capacete",100,63,33,81,0,1,Suspeito
192.168.155.124,"Explosivo, Lança-granadas, Drone, Silenciador",71,159,51,24,0,1,Legítimo
192.168.73.235,"Submetralhadora, Colete, Silenciador, Faca",57,143,135,76,0,1,Suspeito
192.168.187.93,"Submetralhadora, Revólver, GranadaInc, Fuzil",77,80,100,28,0,1,Legítimo
192.168.188.7,"Sniper, GranadaInc, MedKit, Explosivo",95,286,142,86,0,0,Suspeito
192.168.83.119,"MedKit, Colete, Torreta, Submetralhadora",90,253,21,97,0,1,Suspeito
192.168.70.1,"Fuzil, MedKit, Silenciador, Metralhadora",70,197,20,47,1,0,Suspeito
192.168.214.116,"Capacete, Faca, MedKit, GranadaFrag",56,289,76,77,0,0,Legítimo
192.168.177.86,"Lança-granadas, Colete, Pistola, Silenciador",99,264,92,42,0,0,Legítimo
192.168.215.119,"Lança-granadas, GranadaFumo, Faca, Metralhadora",49,323,105,65,0,0,Legítimo
192.168.71.174,"Drone, Submetralhadora, Revólver, Metralhadora",91,290,148,96,0,0,Suspeito
192.168.219.69,"MedKit, Torreta, Pistola, Silenciador",58,348,28,10,0,1,Legítimo
192.168.158.192,"Capacete, Pistola, Torreta, Mira",67,360,47,24,0,0,Legítimo
192.168.46.55,"Revólver, Silenciador, Sniper, GranadaFumo",81,135,86,88,0,1,Suspeito
192.168.73.185,"Drone, Fuzil, Metralhadora, GranadaInc",57,334,68,79,0,1,Legítimo
192.168.24.26,"Colete, GranadaFrag, Mira, Silenciador",95,385,36,9,0,0,Legítimo
192.168.12.68,"Espingarda, Revólver, Faca, GranadaInc",53,307,87,1,0,1,Legítimo
192.168.23.210,"Pistola, MedKit, Drone, Faca",74,351,39,92,0,0,Legítimo
192.168.157.227,"Explosivo, Drone, Mira, Colete",51,347,62,48,0,0,Legítimo
192.168.59.146,"Faca, Lança-granadas, Espingarda, Submetralhadora",41,106,29,96,0,1,Suspeito
192.168.33.207,"GranadaInc, Torreta, Espingarda, MedKit",40,121,143,50,1,0,Suspeito
192.168.5.122,"Metralhadora, GranadaFrag, Mira, Colete",54,53,135,27,0,1,Suspeito
192.168.68.6,"MedKit, Colete, Explosivo, Torreta",77,237,93,48,0,1,Legítimo
192.168.184.226,"Fuzil, Pistola, Mira, Revólver",65,276,67,36,0,0,Legítimo
192.168.247.48,"Silenciador, Sniper, GranadaFrag, Revólver",66,353,46,34,0,0,Legítimo
192.168.169.135,"Lança-granadas, Drone, Sniper, GranadaInc",100,239,109,99,0,1,Suspeito
192.168.228.122,"Explosivo, Mira, Drone, Colete",97,304,137,20,0,0,Legítimo
192.168.14.147,"Lança-granadas, Submetralhadora, GranadaFrag, Sniper",63,240,116,0,0,1,Legítimo
192.168.247.191,"MedKit, Espingarda, Fuzil, Drone",75,245,139,76,0,0,Legítimo
192.168.116.108,"Colete, GranadaFumo, Explosivo, Lança-granadas",72,377,114,8,0,1,Legítimo
192.168.154.158,"Colete, Lança-granadas, Drone, Faca",87,284,99,5,0,0,Legítimo
192.168.142.252,"GranadaInc, Drone, Faca, Lança-granadas",63,216,83,4,0,1,Legítimo
192.168.183.115,"Revólver, Fuzil, Mira, GranadaInc",62,188,128,57,0,0,Legítimo
192.168.174.241,"GranadaFumo, Drone, GranadaFrag, Submetralhadora",73,213,32,17,0,1,Legítimo
192.168.3.27,"GranadaFumo, Submetralhadora, MedKit, Espingarda",50,84,25,20,0,0,Legítimo
192.168.3.245,"Fuzil, Metralhadora, GranadaFumo, Mira",84,149,96,6,0,0,Legítimo
192.168.51.14,"Pistola, Submetralhadora, Metralhadora, Mira",43,171,116,0,0,0,Legítimo
192.168.190.57,"Submetralhadora, Sniper, Revólver, GranadaFumo",58,245,79,20,0,0,Legítimo
192.168.66.241,"Faca, Fuzil, Colete, Silenciador",66,197,135,100,1,0,Suspeito
192.168.206.244,"Metralhadora, GranadaFrag, MedKit, Capacete",46,311,36,57,0,0,Legítimo
192.168.76.205,"Capacete, Revólver, Silenciador, Faca",41,349,74,35,0,0,Legítimo
192.168.6.163,"Metralhadora, Submetralhadora, Drone, Espingarda",45,375,46,82,0,0,Legítimo
192.168.188.87,"GranadaFumo, Fuzil, Lança-granadas, Capacete",69,278,24,7,1,0,Legítimo
192.168.100.206,"Colete, Mira, Submetralhadora, Capacete",69,258,96,36,0,0,Legítimo
192.168.119.244,"Metralhadora, MedKit, Colete, Pistola",70,80,148,97,0,0,Suspeito
192.168.125.201,"Silenciador, Explosivo, Capacete, Mira",49,92,44,62,0,0,Legítimo
192.168.216.217,"MedKit, Submetralhadora, Silenciador, Mira",43,59,96,69,0,1,Legítimo
192.168.146.75,"Silenciador, Drone, Revólver, MedKit",99,318,150,34,0,0,Legítimo
192.168.80.153,"GranadaInc, GranadaFumo, Submetralhadora, Explosivo",60,213,37,90,0,1,Suspeito
192.168.109.61,"Silenciador, Espingarda, MedKit, Submetralhadora",90,370,30,58,0,0,Legítimo
192.168.27.100,"GranadaFumo, Silenciador, Mira, Pistola",93,324,132,85,0,0,Suspeito
192.168.233.91,"Explosivo, Torreta, Faca, Drone",85,96,141,96,0,0,Suspeito
192.168.176.84,"Fuzil, Torreta, Revólver, Explosivo",93,115,150,20,0,0,Suspeito
192.168.235.108,"Torreta, Metralhadora, Mira, MedKit",45,250,98,90,0,1,Legítimo
192.168.215.51,"Pistola, Colete, MedKit, Torreta",63,295,127,29,0,0,Legítimo
192.168.156.55,"Espingarda, Mira, Silenciador, Colete",42,148,85,64,1,1,Suspeito
192.168.126.241,"Sniper, Revólver, Fuzil, Silenciador",57,270,52,99,1,0,Legítimo
192.168.124.234,"Explosivo, Silenciador, Capacete, Sniper",57,335,138,68,0,1,Legítimo
192.168.67.137,"Explosivo, Metralhadora, Faca, GranadaInc",67,63,92,33,0,0,Legítimo
192.168.77.51,"Lança-granadas, Capacete, Mira, Sniper",43,257,119,52,0,0,Legítimo
192.168.181.242,"Faca, Espingarda, Torreta, Submetralhadora",63,380,51,5,0,0,Legítimo
192.168.131.146,"Faca, Torreta, Metralhadora, Explosivo",40,116,41,39,0,0,Legítimo
192.168.98.25,"Torreta, Faca, Mira, MedKit",50,208,73,41,0,1,Legítimo
192.168.92.34,"Lança-granadas, Fuzil, Drone, MedKit",84,347,119,19,0,1,Suspeito
192.168.245.64,"Fuzil, Pistola, Drone, Faca",60,174,27,95,0,0,Suspeito
192.168.142.254,"Pistola, Lança-granadas, Submetralhadora, MedKit",88,204,136,83,0,0,Suspeito
192.168.166.28,"Drone, Lança-granadas, GranadaFrag, Explosivo",81,383,34,81,0,0,Suspeito
192.168.156.239,"Sniper, Lança-granadas, Espingarda, Revólver",72,277,81,92,0,1,Legítimo
192.168.33.41,"Torreta, Lança-granadas, Submetralhadora, GranadaFumo",84,78,58,51,0,1,Suspeito
192.168.142.108,"Lança-granadas, Torreta, Capacete, Sniper",56,396,83,61,0,1,Legítimo
192.168.47.203,"Lança-granadas, Explosivo, Colete, Espingarda",87,337,27,10,0,0,Legítimo
192.168.35.56,"Fuzil, MedKit, Silenciador, Torreta",71,234,98,90,0,1,Legítimo
192.168.241.70,"Faca, Fuzil, Espingarda, MedKit",79,338,149,27,0,0,Legítimo
192.168.1.76,"Submetralhadora, Metralhadora, Fuzil, Colete",76,86,81,59,0,0,Legítimo
192.168.122.203,"Capacete, Revólver, Mira, Fuzil",40,181,35,24,0,1,Suspeito
192.168.192.144,"Espingarda, Revólver, Pistola, GranadaInc",91,400,81,71,0,0,Legítimo
192.168.223.89,"Fuzil, Lança-granadas, Sniper, Pistola",97,82,108,51,0,1,Suspeito
192.168.124.216,"Silenciador, GranadaInc, Espingarda, Submetralhadora",47,344,121,81,0,1,Suspeito
192.168.154.83,"GranadaFumo, MedKit, Metralhadora, Revólver",50,249,57,56,0,0,Legítimo
192.168.212.3,"GranadaFrag, Explosivo, Metralhadora, MedKit",53,277,56,27,0,0,Legítimo
192.168.143.54,"Revólver, Explosivo, Mira, Capacete",54,153,118,44,0,0,Legítimo
192.168.202.121,"MedKit, Pistola, Faca, GranadaFrag",72,372,67,37,0,1,Legítimo
192.168.110.110,"Espingarda, Silenciador, MedKit, Torreta",65,322,141,7,1,1,Suspeito
192.168.157.194,"Capacete, Submetralhadora, GranadaFrag, Explosivo",64,357,39,82,0,1,Suspeito
192.168.21.215,"Submetralhadora, Fuzil, Colete, Torreta",58,391,90,69,0,0,Legítimo
192.168.217.236,"Colete, MedKit, Revólver, Drone",62,96,117,89,0,1,Suspeito
192.168.144.173,"Torreta, Silenciador, Explosivo, GranadaFumo",76,147,141,98,0,1,Suspeito
192.168.16.141,"Espingarda, Mira, GranadaFrag, Lança-granadas",41,184,91,39,0,1,Legítimo
192.168.208.121,"Lança-granadas, GranadaFrag, Fuzil, Drone",68,393,69,100,0,0,Legítimo
192.168.240.18,"GranadaFumo, Capacete, Espingarda, MedKit",78,67,98,9,0,0,Legítimo
192.168.65.52,"Espingarda, Fuzil, Lança-granadas, Sniper",73,394,34,76,0,0,Legítimo
192.168.231.235,"Fuzil, GranadaInc, Lança-granadas, Sniper",56,134,28,3,0,1,Suspeito
192.168.97.74,"Capacete, Mira, Explosivo, Espingarda",100,310,83,47,0,0,Legítimo
192.168.215.34,"Explosivo, Faca, Capacete, Colete",91,234,110,75,0,1,Suspeito
