IP,Inventario,Acuracia,TempoReacao,APM,TaxaHeadshots,JaFoiSuspeito,IPRepetido,SusInv,Classe
192.168.119.248,"Revólver, Submetralhadora, GranadaInc, GranadaFumo",67,362,64,87,0,0,0,Legítimo
192.168.179.86,"GranadaFrag, Silenciador, MedKit, Fuzil",45,228,118,99,0,0,0,Legítimo
192.168.35.34,"Silenciador, Capacete, Torreta, Drone",81,164,31,63,0,0,0,Suspeito
192.168.155.86,"GranadaFrag, Revólver, Espingarda, Fuzil",93,270,30,82,0,0,0,Suspeito
192.168.94.211,"Mira, Metralhadora, GranadaInc, Torreta",65,107,25,39,0,0,0,Legítimo
192.168.173.130,"Pistola, MedKit, Metralhadora, Sniper",53,149,29,13,0,0,0,Legítimo
192.168.101.149,"Fuzil, Colete, Sniper, GranadaFrag",91,296,81,4,0,0,0,Legítimo
192.168.144.86,"Drone, Sniper, MedKit, Colete",96,373,63,82,0,0,0,Legítimo
192.168.93.67,"Silenciador, Sniper, Pistola, Drone",59,102,108,86,0,0,0,Suspeito
192.168.108.171,"Fuzil, Capacete, GranadaFrag, Pistola",85,371,122,73,0,0,0,Suspeito
192.168.11.150,"Lança-granadas, Explosivo, Mira, Revólver",71,324,85,40,0,0,0,Legítimo
192.168.216.11,"Mira, Colete, Silenciador, Espingarda",40,209,123,48,0,0,1,Legítimo
192.168.98.206,"Submetralhadora, Mira, Torreta, Drone",96,200,131,35,0,0,0,Legítimo
192.168.197.71,"Revólver, Pistola, Submetralhadora, Espingarda",88,277,51,48,0,0,0,Legítimo
192.168.63.1,"GranadaFrag, Espingarda, MedKit, GranadaFumo",64,156,100,0,0,0,0,Legítimo
192.168.27.194,"Submetralhadora, Revólver, MedKit, GranadaFumo",49,282,107,82,0,0,0,Legítimo
192.168.155.235,"Metralhadora, MedKit, Espingarda, Submetralhadora",67,51,93,7,0,0,0,Legítimo
192.168.147.193,"Torreta, GranadaFumo, Faca, Colete",70,258,133,30,0,0,0,Legítimo
192.168.80.250,"Fuzil, Drone, GranadaFrag, Lança-granadas",56,234,21,94,0,0,0,Legítimo
192.168.164.41,"Fuzil, Capacete, Revólver, Explosivo",89,365,21,68,0,0,0,Legítimo
192.168.244.82,"Explosivo, Espingarda, MedKit, Colete",64,322,143,53,0,0,0,Legítimo
192.168.29.44,"Faca, Sniper, Fuzil, Drone",84,361,81,89,0,0,0,Legítimo
192.168.17.38,"Metralhadora, Espingarda, Faca, Revólver",86,221,90,61,0,0,0,Legítimo
192.168.86.166,"Fuzil, Explosivo, Revólver, Faca",59,383,117,42,0,0,0,Legítimo
192.168.75.215,"Silenciador, Metralhadora, Capacete, Espingarda",67,382,68,37,0,0,0,Legítimo
192.168.177.223,"GranadaInc, Revólver, Sniper, Submetralhadora",75,84,116,44,0,0,0,Legítimo
192.168.34.15,"Mira, Lança-granadas, Espingarda, MedKit",60,50,35,6,0,0,0,Legítimo
192.168.144.40,"Faca, Fuzil, Espingarda, Revólver",82,251,21,75,0,0,0,Suspeito
192.168.8.19,"Drone, Submetralhadora, Pistola, Revólver",50,179,74,12,0,0,0,Legítimo
192.168.222.250,"Faca, Fuzil, MedKit, Explosivo",70,94,50,4,0,0,0,Legítimo
192.168.36.105,"Fuzil, GranadaInc, Lança-granadas, Faca",90,389,65,1,0,0,0,Legítimo
192.168.234.201,"GranadaInc, Lança-granadas, Mira, GranadaFumo",94,79,111,56,0,0,0,Suspeito
192.168.152.222,"GranadaFrag, Explosivo, Fuzil, Drone",62,304,133,96,0,0,0,Legítimo
192.168.150.243,"MedKit, GranadaFrag, GranadaInc, Colete",51,362,76,34,0,0,0,Legítimo
192.168.8.246,"Lança-granadas, Pistola, Torreta, Revólver",86,164,82,50,0,0,0,Legítimo
192.168.102.46,"Fuzil, Faca, Capacete, Colete",87,145,100,94,0,0,0,Suspeito
192.168.103.179,"GranadaFumo, Fuzil, Lança-granadas, Submetralhadora",86,280,115,52,0,0,0,Legítimo
192.168.150.125,"Espingarda, MedKit, GranadaFumo, Torreta",87,86,30,100,0,0,0,Suspeito
192.168.234.26,"GranadaFumo, MedKit, Capacete, Colete",62,108,90,38,0,0,0,Legítimo
192.168.95.184,"Fuzil, Sniper, Submetralhadora, Espingarda",92,63,108,30,0,0,0,Suspeito
192.168.91.55,"Revólver, Pistola, GranadaFrag, Lança-granadas",95,385,59,23,0,0,0,Legítimo
192.168.190.40,"Fuzil, Explosivo, MedKit, Lança-granadas",46,127,137,70,0,0,0,Legítimo
192.168.160.240,"GranadaFumo, Espingarda, Faca, Silenciador",71,147,117,82,0,0,1,Suspeito
192.168.16.113,"GranadaFumo, MedKit, Faca, Colete",87,200,51,89,0,0,0,Legítimo
192.168.229.80,"Capacete, Silenciador, GranadaFumo, MedKit",70,343,42,87,0,0,0,Legítimo
192.168.71.207,"Explosivo, Metralhadora, Sniper, Submetralhadora",58,318,117,67,0,0,0,Legítimo
192.168.195.2,"GranadaFrag, MedKit, Revólver, Submetralhadora",44,74,41,92,0,0,0,Legítimo
192.168.222.113,"Revólver, Pistola, Mira, Lança-granadas",91,90,113,89,0,0,0,Suspeito
192.168.134.97,"Capacete, Lança-granadas, Silenciador, Explosivo",81,289,134,33,0,0,0,Legítimo
192.168.141.27,"Metralhadora, Lança-granadas, Silenciador, Fuzil",95,60,64,88,0,0,0,Suspeito
192.168.49.214,"GranadaFumo, Explosivo, Colete, Lança-granadas",74,154,33,60,0,0,0,Legítimo
192.168.247.113,"Explosivo, Drone, Colete, Silenciador",90,196,65,3,0,0,0,Legítimo
192.168.115.27,"Torreta, Espingarda, Drone, GranadaInc",55,250,105,72,0,0,0,Legítimo
192.168.181.28,"Lança-granadas, Fuzil, Drone, GranadaFumo",53,353,58,8,0,0,0,Legítimo
192.168.249.233,"Mira, GranadaInc, Espingarda, Faca",77,354,96,80,0,0,0,Legítimo
192.168.163.175,"Pistola, Fuzil, Colete, Mira",68,281,105,7,0,0,0,Legítimo
192.168.40.100,"Explosivo, Mira, Submetralhadora, Pistola",40,69,89,90,0,0,0,Legítimo
192.168.164.73,"MedKit, Drone, GranadaFumo, Revólver",93,291,28,79,0,0,0,Suspeito
192.168.196.66,"GranadaInc, MedKit, Submetralhadora, Capacete",100,186,117,73,0,0,0,Suspeito
192.168.62.119,"Colete, Submetralhadora, Pistola, Metralhadora",84,285,26,94,0,0,0,Suspeito
192.168.204.146,"Capacete, Mira, GranadaFrag, Sniper",44,223,63,2,0,0,0,Legítimo
192.168.32.152,"Silenciador, Metralhadora, Revólver, Lança-granadas",62,394,61,26,0,0,0,Legítimo
192.168.113.248,"Metralhadora, Torreta, Revólver, Mira",71,111,136,40,0,0,0,Legítimo
192.168.34.176,"GranadaFrag, Explosivo, MedKit, Sniper",40,197,91,87,0,0,0,Legítimo
192.168.43.61,"Submetralhadora, Pistola, MedKit, GranadaInc",52,302,38,57,0,0,0,Legítimo
192.168.141.79,"GranadaInc, Colete, Faca, Lança-granadas",73,276,38,47,0,0,0,Legítimo
192.168.104.171,"Revólver, Pistola, GranadaInc, Drone",59,170,43,26,0,0,0,Legítimo
192.168.170.57,"Fuzil, GranadaFumo, Torreta, Sniper",48,367,113,54,1,0,0,Legítimo
192.168.106.74,"Submetralhadora, Lança-granadas, Drone, GranadaInc",71,264,53,70,0,0,0,Legítimo
192.168.138.28,"Espingarda, Capacete, GranadaFumo, Pistola",100,167,20,45,0,0,0,Suspeito
192.168.167.216,"Lança-granadas, Mira, Fuzil, GranadaFumo",54,261,149,65,0,0,0,Legítimo
192.168.114.81,"Sniper, Silenciador, Colete, Revólver",68,387,55,78,0,0,1,Legítimo
192.168.255.72,"Lança-granadas, Submetralhadora, Torreta, MedKit",100,334,123,63,0,0,0,Legítimo
192.168.177.132,"Capacete, Fuzil, GranadaFrag, Faca",59,182,23,68,0,0,0,Legítimo
192.168.90.147,"Espingarda, Pistola, Submetralhadora, GranadaFumo",43,159,101,79,0,0,0,Suspeito
192.168.195.17,"Submetralhadora, Lança-granadas, Mira, Capacete",85,180,29,62,0,0,0,Suspeito
192.168.30.253,"GranadaFumo, Capacete, MedKit, Drone",77,268,84,57,0,0,0,Legítimo
192.168.191.122,"GranadaInc, Colete, Pistola, GranadaFumo",82,127,150,62,0,0,0,Suspeito
192.168.12.149,"Mira, GranadaFumo, GranadaInc, GranadaFrag",50,191,121,71,0,0,0,Suspeito
192.168.189.107,"Submetralhadora, GranadaInc, Revólver, Espingarda",95,210,29,41,0,0,0,Legítimo
192.168.19.229,"GranadaInc, Colete, Drone, Faca",97,179,54,68,0,0,0,Legítimo
192.168.95.127,"Fuzil, Lança-granadas, Colete, Pistola",67,282,60,54,0,0,0,Legítimo
192.168.189.64,"Fuzil, Silenciador, GranadaInc, Metralhadora",52,252,117,31,0,0,0,Legítimo
192.168.76.74,"Explosivo, Metralhadora, Mira, Colete",72,383,88,66,0,0,0,Legítimo
192.168.73.97,"Explosivo, Capacete, Revólver, GranadaInc",70,142,47,58,0,0,0,Legítimo
192.168.232.35,"Submetralhadora, Torreta, Pistola, Mira",51,269,118,77,0,0,0,Legítimo
192.168.74.232,"MedKit, GranadaFumo, Revólver, Sniper",65,327,84,7,0,0,0,Legítimo
192.168.89.227,"GranadaInc, Capacete, Submetralhadora, Pistola",96,158,33,56,0,0,0,Suspeito
192.168.175.26,"Drone, Mira, GranadaFumo, Explosivo",50,180,60,90,1,0,0,Suspeito
192.168.10.8,"GranadaFrag, Mira, Submetralhadora, Colete",84,376,128,42,0,0,0,Legítimo
192.168.53.50,"Lança-granadas, GranadaFrag, Pistola, Fuzil",60,63,138,91,0,0,0,Suspeito
192.168.81.101,"Torreta, Sniper, Submetralhadora, Colete",48,164,93,28,1,0,0,Legítimo
192.168.127.10,"Mira, Metralhadora, Drone, Submetralhadora",96,95,97,82,0,0,0,Suspeito
192.168.106.63,"Fuzil, MedKit, Torreta, Espingarda",86,226,98,18,0,0,0,Legítimo
192.168.1.250,"Explosivo, Lança-granadas, Submetralhadora, Colete",52,347,114,52,0,0,0,Legítimo
192.168.242.53,"GranadaFumo, Espingarda, Explosivo, Faca",50,76,103,65,0,0,0,Legítimo
192.168.115.225,"Explosivo, Submetralhadora, GranadaFrag, Faca",87,69,135,5,0,0,0,Suspeito
192.168.88.155,"GranadaFrag, GranadaInc, Drone, Sniper",81,357,52,27,0,0,0,Legítimo
192.168.116.186,"GranadaFrag, Pistola, Fuzil, Explosivo",42,68,148,86,0,0,0,Suspeito
192.168.158.109,"Explosivo, Espingarda, Revólver, GranadaFrag",99,205,47,78,0,0,0,Legítimo
192.168.224.3,"GranadaInc, Drone, Revólver, Submetralhadora",74,345,110,62,0,0,0,Legítimo
192.168.240.116,"Torreta, Metralhadora, Mira, GranadaFumo",95,328,126,83,0,0,0,Suspeito
192.168.115.90,"Torreta, Faca, Lança-granadas, GranadaInc",48,373,106,88,0,0,0,Legítimo
192.168.216.197,"GranadaFrag, Metralhadora, Colete, Lança-granadas",68,112,96,33,1,0,0,Legítimo
192.168.234.231,"Revólver, Drone, Pistola, Espingarda",72,173,114,6,0,0,0,Legítimo
192.168.219.208,"Fuzil, Torreta, Submetralhadora, Mira",45,226,77,43,0,0,0,Legítimo
192.168.38.60,"Mira, GranadaInc, Espingarda, Torreta",87,85,81,43,0,0,0,Legítimo
192.168.106.80,"Metralhadora, GranadaFrag, Colete, Explosivo",92,384,30,31,0,0,0,Legítimo
192.168.202.38,"Sniper, Pistola, MedKit, Espingarda",52,361,52,41,0,0,0,Legítimo
192.168.13.112,"GranadaInc, Lança-granadas, Sniper, Espingarda",54,249,66,16,0,0,0,Legítimo
192.168.63.198,"Pistola, MedKit, Mira, Submetralhadora",51,299,26,63,0,0,0,Legítimo
192.168.7.74,"Lança-granadas, Faca, Pistola, Silenciador",58,267,78,54,0,0,0,Legítimo
192.168.148.78,"Lança-granadas, GranadaFrag, GranadaInc, Silenciador",71,122,21,52,0,0,0,Legítimo
192.168.109.124,"Drone, MedKit, Lança-granadas, Submetralhadora",59,178,129,63,0,0,0,Legítimo
192.168.187.148,"Faca, Lança-granadas, Silenciador, Capacete",60,201,78,80,0,0,0,Legítimo
192.168.39.248,"Espingarda, Capacete, GranadaFrag, Silenciador",98,64,42,5,0,0,0,Legítimo
192.168.5.205,"Explosivo, Lança-granadas, Metralhadora, Fuzil",82,60,59,52,0,0,0,Legítimo
192.168.116.30,"GranadaFrag, GranadaFumo, Lança-granadas, Faca",42,108,45,16,0,0,0,Legítimo
192.168.130.224,"Lança-granadas, MedKit, Submetralhadora, Revólver",90,324,33,0,0,0,0,Legítimo
192.168.93.169,"Explosivo, Mira, GranadaInc, Capacete",70,188,83,62,0,0,0,Legítimo
192.168.100.26,"GranadaFumo, MedKit, Drone, Pistola",69,189,132,6,0,0,0,Legítimo
192.168.171.81,"Capacete, MedKit, Sniper, Espingarda",50,322,86,82,0,0,0,Legítimo
192.168.178.213,"Explosivo, Capacete, Pistola, Fuzil",82,159,118,78,0,0,0,Suspeito
192.168.253.148,"Colete, Fuzil, Faca, Metralhadora",69,235,147,94,0,0,0,Legítimo
192.168.106.214,"MedKit, Torreta, Silenciador, Espingarda",66,367,40,19,0,0,0,Legítimo
192.168.14.133,"Drone, Mira, GranadaFumo, Colete",99,274,125,66,0,0,0,Legítimo
192.168.45.119,"Fuzil, Torreta, MedKit, Espingarda",98,67,88,1,0,0,0,Legítimo
192.168.80.154,"Metralhadora, Mira, GranadaFrag, GranadaFumo",41,176,112,13,0,0,0,Legítimo
192.168.253.85,"GranadaFrag, GranadaFumo, Faca, Capacete",79,358,26,100,0,0,0,Legítimo
192.168.160.8,"Fuzil, Metralhadora, Mira, Faca",95,209,135,17,0,0,0,Legítimo
192.168.71.252,"GranadaFumo, Faca, Explosivo, Espingarda",51,97,89,91,0,0,0,Legítimo
192.168.66.214,"Colete, Drone, Mira, Explosivo",52,238,41,92,1,0,0,Legítimo
192.168.122.132,"Drone, GranadaFrag, Explosivo, Revólver",81,369,31,23,1,0,0,Suspeito
192.168.35.66,"Pistola, Submetralhadora, Capacete, Espingarda",55,169,47,100,0,0,0,Legítimo
192.168.23.184,"MedKit, Mira, Explosivo, Sniper",57,253,92,79,0,0,0,Legítimo
192.168.162.48,"MedKit, Fuzil, Explosivo, Submetralhadora",81,191,30,3,0,0,0,Suspeito
192.168.157.102,"Fuzil, Submetralhadora, Pistola, Mira",58,338,119,61,0,0,0,Legítimo
192.168.77.60,"Metralhadora, Espingarda, Faca, Fuzil",60,128,36,17,0,0,0,Legítimo
192.168.189.160,"Torreta, Drone, Faca, Pistola",79,100,47,68,0,0,0,Legítimo
192.168.212.132,"GranadaFumo, Mira, Espingarda, Submetralhadora",71,100,33,1,0,0,0,Legítimo
192.168.59.221,"Espingarda, Metralhadora, GranadaFumo, Faca",97,207,80,21,0,0,0,Legítimo
192.168.207.60,"MedKit, Colete, GranadaInc, Espingarda",58,169,90,70,0,0,0,Legítimo
192.168.89.61,"MedKit, GranadaInc, Pistola, Explosivo",82,198,51,97,0,0,0,Suspeito
192.168.114.186,"GranadaFumo, Espingarda, Capacete, Fuzil",65,116,108,34,0,0,0,Legítimo
192.168.176.34,"Espingarda, GranadaFumo, Torreta, MedKit",41,133,46,6,0,0,0,Legítimo
192.168.72.4,"Sniper, Explosivo, Lança-granadas, GranadaInc",74,357,69,68,0,0,0,Legítimo
192.168.24.113,"Sniper, GranadaFrag, GranadaFumo, Faca",49,146,38,95,0,0,0,Suspeito
192.168.247.66,"Lança-granadas, Submetralhadora, GranadaFumo, Drone",76,221,51,59,0,0,0,Legítimo
192.168.70.175,"Faca, GranadaInc, Metralhadora, GranadaFumo",63,108,41,78,0,0,0,Legítimo
192.168.18.97,"Capacete, Sniper, Submetralhadora, GranadaInc",91,231,86,65,0,0,0,Legítimo
192.168.80.205,"Mira, GranadaInc, Lança-granadas, Drone",59,274,28,13,0,0,0,Legítimo
192.168.239.218,"Explosivo, GranadaFrag, Torreta, Silenciador",79,98,77,41,0,0,0,Legítimo
192.168.27.205,"GranadaFrag, Pistola, Mira, Colete",60,372,52,29,0,0,0,Legítimo
192.168.133.41,"GranadaInc, Espingarda, Drone, GranadaFrag",95,235,38,59,0,0,0,Legítimo
192.168.168.150,"MedKit, Revólver, Capacete, Submetralhadora",84,209,129,96,0,0,0,Suspeito
192.168.232.29,"GranadaFrag, GranadaInc, Mira, Submetralhadora",76,306,75,0,0,0,0,Legítimo
192.168.232.228,"Capacete, Sniper, GranadaFrag, GranadaFumo",88,393,75,14,0,0,0,Legítimo
192.168.99.222,"Sniper, Revólver, GranadaInc, Colete",79,329,129,95,0,0,0,Legítimo
192.168.147.12,"Mira, Colete, GranadaInc, Silenciador",93,160,45,89,0,0,1,Suspeito
192.168.104.112,"Revólver, Faca, Fuzil, MedKit",43,357,80,35,0,0,0,Legítimo
192.168.235.100,"GranadaFrag, Colete, Fuzil, Faca",61,262,87,5,0,0,0,Legítimo
192.168.246.79,"Explosivo, Faca, Drone, Mira",46,150,133,98,0,0,0,Suspeito
192.168.57.29,"Faca, GranadaFumo, Submetralhadora, Sniper",81,111,135,9,0,0,1,Suspeito
192.168.223.225,"Explosivo, Torreta, GranadaInc, GranadaFumo",58,294,108,65,0,0,0,Legítimo
192.168.176.45,"Lança-granadas, Torreta, Drone, GranadaInc",87,359,129,98,0,0,0,Suspeito
192.168.35.79,"MedKit, Lança-granadas, GranadaFumo, Sniper",43,218,129,83,0,0,0,Legítimo
192.168.118.221,"Fuzil, Metralhadora, Silenciador, Espingarda",80,130,103,32,0,0,0,Legítimo
192.168.34.228,"GranadaFumo, Lança-granadas, Mira, Espingarda",47,279,122,37,0,0,0,Legítimo
192.168.69.6,"Faca, GranadaInc, GranadaFrag, Fuzil",55,239,55,4,0,0,0,Legítimo
192.168.115.141,"MedKit, Metralhadora, Colete, Pistola",58,311,106,4,1,0,0,Legítimo
192.168.161.104,"Submetralhadora, GranadaFrag, Fuzil, GranadaInc",94,347,126,22,0,0,0,Legítimo
192.168.68.98,"Pistola, GranadaFrag, Faca, Sniper",64,229,120,92,0,0,0,Legítimo
192.168.78.112,"Revólver, Metralhadora, MedKit, Capacete",57,283,35,31,0,0,0,Legítimo
192.168.220.242,"Colete, Revólver, GranadaFrag, Metralhadora",93,170,50,7,0,0,0,Legítimo
192.168.8.69,"Fuzil, Colete, MedKit, Faca",48,231,72,48,0,0,0,Legítimo
192.168.220.92,"Sniper, GranadaFumo, Lança-granadas, Torreta",50,188,123,100,0,0,0,Suspeito
192.168.9.40,"Mira, Sniper, GranadaFrag, Explosivo",62,199,61,26,0,0,0,Legítimo
192.168.117.187,"Lança-granadas, GranadaFrag, Capacete, Mira",86,63,80,97,0,0,0,Suspeito
192.168.183.40,"GranadaFumo, Silenciador, Faca, Fuzil",74,282,74,50,0,0,1,Legítimo
192.168.179.74,"Pistola, Submetralhadora, MedKit, Silenciador",64,192,105,0,0,0,0,Legítimo
192.168.65.95,"Espingarda, Revólver, GranadaFumo, Drone",84,133,47,46,0,0,0,Legítimo
192.168.71.221,"Drone, Fuzil, MedKit, Torreta",77,375,103,98,0,0,0,Legítimo
192.168.176.55,"Explosivo, GranadaFumo, Espingarda, GranadaInc",83,102,139,18,0,0,0,Suspeito
192.168.108.161,"Fuzil, Drone, Sniper, Mira",73,193,103,26,0,0,0,Legítimo
192.168.158.153,"Fuzil, GranadaInc, Espingarda, Pistola",47,187,93,8,0,0,0,Legítimo
192.168.240.214,"GranadaFrag, Submetralhadora, Capacete, Faca",52,300,142,65,0,0,0,Legítimo
192.168.184.185,"GranadaInc, Metralhadora, Explosivo, Faca",94,299,147,52,1,0,0,Suspeito
192.168.11.67,"Pistola, MedKit, GranadaFrag, Mira",56,118,74,4,0,0,0,Legítimo
192.168.35.5,"GranadaFrag, Colete, Capacete, Explosivo",40,215,130,6,0,0,0,Legítimo
192.168.37.101,"Explosivo, Torreta, Drone, GranadaInc",64,234,45,78,0,0,0,Legítimo
192.168.14.244,"Metralhadora, Explosivo, Revólver, Torreta",41,378,142,39,0,0,0,Legítimo
192.168.51.49,"GranadaFrag, Explosivo, Sniper, Torreta",92,90,122,49,0,0,0,Suspeito
192.168.103.107,"Capacete, GranadaInc, Sniper, Mira",89,153,27,70,0,0,0,Suspeito
192.168.129.34,"Faca, Mira, Drone, Colete",51,170,24,30,0,0,0,Legítimo
192.168.13.186,"Colete, Espingarda, Lança-granadas, MedKit",41,207,82,2,0,0,0,Legítimo
192.168.59.174,"GranadaFumo, GranadaInc, Mira, Drone",47,297,132,37,0,0,0,Legítimo
192.168.45.83,"Drone, Fuzil, Revólver, Explosivo",63,307,67,14,0,0,0,Legítimo
192.168.136.157,"Revólver, GranadaFumo, Faca, GranadaFrag",53,307,141,57,0,0,0,Legítimo
192.168.139.164,"Sniper, Torreta, GranadaFrag, Metralhadora",72,386,26,88,0,0,0,Legítimo
192.168.242.140,"GranadaInc, Sniper, Explosivo, MedKit",83,316,150,23,0,0,0,Legítimo
192.168.81.33,"Sniper, Torreta, GranadaFrag, Metralhadora",87,239,110,100,0,0,0,Suspeito
192.168.65.136,"Torreta, Sniper, GranadaFrag, Submetralhadora",47,288,110,33,0,0,0,Legítimo
192.168.58.27,"Faca, Metralhadora, Espingarda, Fuzil",91,61,111,75,0,0,0,Suspeito
192.168.83.208,"Faca, MedKit, Drone, Pistola",96,199,146,65,0,0,0,Suspeito
192.168.168.34,"Silenciador, GranadaInc, Revólver, Fuzil",47,278,110,44,0,0,0,Legítimo
192.168.117.120,"Submetralhadora, MedKit, Faca, Fuzil",72,292,79,76,0,0,0,Legítimo
192.168.247.33,"Submetralhadora, Colete, Capacete, GranadaFumo",64,107,75,98,0,0,0,Legítimo
192.168.190.124,"Explosivo, Silenciador, Pistola, Torreta",71,270,48,30,0,0,0,Legítimo
192.168.206.179,"GranadaFrag, Faca, Lança-granadas, Espingarda",72,376,131,51,0,0,0,Legítimo
192.168.146.122,"Espingarda, Explosivo, Drone, Faca",68,348,43,40,1,0,1,Legítimo
192.168.222.240,"Espingarda, Pistola, GranadaInc, GranadaFrag",90,270,33,28,0,0,0,Legítimo
192.168.72.255,"Lança-granadas, Metralhadora, Capacete, Pistola",78,267,37,59,0,0,0,Legítimo
192.168.131.105,"GranadaInc, Silenciador, Metralhadora, Drone",87,162,106,85,0,0,0,Suspeito
192.168.63.76,"Metralhadora, Sniper, Espingarda, Mira",54,262,141,82,0,0,0,Legítimo
192.168.41.6,"Silenciador, Drone, Sniper, GranadaFrag",43,242,23,33,0,0,0,Legítimo
192.168.29.92,"Espingarda, GranadaFrag, Silenciador, Colete",43,86,78,0,0,0,1,Legítimo
192.168.60.195,"GranadaInc, GranadaFrag, GranadaFumo, Silenciador",46,105,79,34,0,0,0,Legítimo
192.168.87.70,"Mira, Explosivo, GranadaFrag, Torreta",74,67,30,72,0,0,0,Suspeito
192.168.3.71,"Fuzil, Capacete, Silenciador, Espingarda",69,232,51,6,0,0,0,Legítimo
192.168.70.103,"Drone, Pistola, MedKit, Faca",90,274,89,68,0,0,0,Legítimo
192.168.32.28,"Metralhadora, Lança-granadas, Mira, Fuzil",57,239,106,41,0,0,0,Legítimo
192.168.60.9,"Sniper, Metralhadora, MedKit, Espingarda",85,256,141,77,0,0,0,Suspeito
192.168.95.132,"Capacete, Drone, Silenciador, Mira",99,290,92,86,0,0,0,Legítimo
192.168.82.20,"Metralhadora, Torreta, GranadaInc, Silenciador",75,118,30,53,0,0,0,Legítimo
192.168.83.22,"GranadaFumo, Torreta, GranadaInc, Drone",58,348,94,92,0,0,0,Legítimo
